id,sentence,yaml,category
1,Locate every school within 500m of a hospital in Seattle.,,
2,Identify all gas stations less than 1km from a police station in Paris.,,
3,Find all parks no farther than 300m from a river in London.,,
4,Map out supermarkets within a 400m radius of a train station in Tokyo.,,
5,Search for all coffee shops less than 200m away from a museum in New York.,,
6,Discover every bank within 600m of a university in Boston.,,
7,Reveal all pharmacies less than 2km from an airport in Dubai.,,
8,Find public toilets within 100m of a courthouse in Sydney.,,
9,Track all playgrounds not more than 800m from a beach in Miami.,,
10,Locate bus stops within 350m of a shopping mall in Berlin.,,
11,Identify all bridges less than 1.5km from a fire station in San Francisco.,,
12,Pinpoint every gym within a 700m radius of a cinema in Los Angeles.,,
13,Search for libraries no farther than 250m from a lake in Zurich.,,
14,Map out hostels within 450m of a metro station in Moscow.,,
15,Find all art galleries less than 500m away from a church in Rome.,,
16,Discover every post office within 750m of a clinic in Amsterdam.,,
17,Reveal all bicycle rental spots less than 1km from a zoo in Barcelona.,,
18,Locate playgrounds within 200m of a stadium in Chicago.,,
19,Track all restaurants no more than 600m from a gym in Portland.,,
20,Search for all historic monuments within 300m of a riverbank in Prague.,,
21,Identify every bar within 400m of a theater in Madrid.,,
22,Pinpoint all eateries less than 800m from a university in Toronto.,,
23,Find carparks no farther than 500m from a botanical garden in Singapore.,,
24,Map out hotels within 350m of a railway station in Brussels.,,
25,Discover all boutiques less than 300m away from an art gallery in Vienna.,,
26,Locate every bakery within 1km of a school in Manchester.,,
27,Reveal all yoga studios less than 200m from a park in Copenhagen.,,
28,Track bars within 600m of a conference center in Seoul.,,
29,Search for all tattoo parlors no more than 450m from a library in Buenos Aires.,,
30,Identify all pet shops within 700m of a vet clinic in Dublin.,,
31,Pinpoint every hair salon less than 250m from a spa in Helsinki.,,
32,Find all fishing spots no farther than 800m from a campground in Oslo.,,
33,Map out cafes within 550m of a bookstore in Melbourne.,,
34,Discover every electronics store less than 350m away from a tech hub in Austin.,,
35,Locate all vintage clothing stores within 900m of a museum in New Orleans.,,
36,Reveal every ice cream parlor within 200m of a playground in Santa Monica.,,
37,Track all art supply stores less than 650m from an art school in Florence.,,
38,Search for all hiking trails no more than 1.2km from a national park in Vancouver.,,
39,Identify all antique shops within 400m of a historic house in Charleston.,,
40,Pinpoint every craft store less than 300m from a gallery in Santa Fe.,,
41,Find all concert venues no farther than 700m from a bar in Nashville.,,
42,Map out delis within 250m of a brewery in Munich.,,
43,Discover all record stores less than 550m away from a music venue in Liverpool.,,
44,Locate every health food store within 800m of a gym in Boulder.,,
45,Reveal all seafood restaurants less than 450m from a fishing harbor in Halifax.,,
46,Track all fabric stores within 350m of a tailor in Milan.,,
47,Search for all bicycle paths no more than 600m from a park in Amsterdam.,,
48,Identify all jewelers within 500m of a hotel in Monaco.,,
49,Pinpoint every art studio less than 750m from an art college in Savannah.,,
50,Find all wine shops no farther than 400m from a vineyard in Bordeaux.,,
51,Map out thrift stores within 300m of a college in Berkeley.,,
52,Discover every stationery store less than 200m away from a university in Oxford.,,
53,Locate all nightclubs within 650m of a concert hall in Ibiza.,,
54,Reveal all sushi bars less than 800m from a fish market in Tokyo.,,
55,Track all pubs within 550m of a brewery in Portland.,,
56,Search for all farmers markets no more than 700m from an organic farm in Tuscany.,,
57,Identify all tea houses within 350m of a botanical garden in Hangzhou.,,
58,Pinpoint every hotel less than 450m from a historic site in Edinburgh.,,
59,Find all skate parks no farther than 500m from a youth center in Los Angeles.,,
60,Map out tailors within 250m of a fashion school in Paris.,,
61,Discover every book store less than 300m away from a cafe in Seattle.,,
62,Locate all cafés within 600m of a yoga studio in Bali.,,
63,Reveal all coffee shops less than 1km from a university in Melbourne.,,
64,Track all bars within 450m of a hotel in New York.,,
65,Search for all murals no more than 500m from an art museum in Berlin.,,
66,Identify all dog parks within 350m of a pet store in San Diego.,,
67,Pinpoint every craft workshop less than 700m from an arts center in Santa Fe.,,
68,Find all bookstores no farther than 800m from a cafe in Portland.,,
69,Map out barbershops within 550m of a men's clothing store in Milan.,,
70,Discover speciality cheese shop less than 300m away from a wine bar in Paris.,,
71,Locate all organic grocers within 750m of a health clinic in San Francisco.,,
72,Reveal all florists less than 200m from a wedding venue in Florence.,,
73,Track all gourmet chocolate shops within 500m of a patisserie in Brussels.,,
74,Search for all indie music stores no more than 650m from a live music bar in Austin.,,
75,Identify all pottery studios within 400m of an art supply store in Copenhagen.,,
76,Pinpoint every meditation center less than 550m from a spa in Bali.,,
77,Find all water sports centers no farther than 300m from a beach in Miami.,,
78,Map out street food markets within 700m of a university in Bangkok.,,
79,Discover every boutique eyewear shop less than 450m away from a fashion boutique in New York.,,
80,Locate all ars within 800m of a brewery in Dublin.,,
81,Reveal all bakeries less than 250m from a health food store in Portland.,,
82,Track all boutique gyms within 600m of a wellness center in Los Angeles.,,
83,Search for all  film theaters no more than 350m from an bookstore in San Francisco.,,
84,Identify all specialty spice shops within 500m of a cooking school in Marrakech.,,
85,Pinpoint every cocktail bar less than 700m from a dance club in Miami.,,
86,Find all shops no farther than 400m from a jewelry store in Geneva.,,
87,Map out fashion boutiques within 550m of a hotel in Milan.,,
88,Discover every specialty tea shop less than 300m away from a bakery in London.,,
89,Locate all record stores within 750m of a music school in Nashville.,,
90,Reveal all gourmet burger joints less than 500m from a craft brewery in Denver.,,
91,Track all climbing gyms within 250m of a sports store in Boulder.,,
92,Search for all clubs no more than 650m from a music conservatory in New Orleans.,,
93,Identify all stores within 350m of a spa in Sedona.,,
94,Pinpoint every museum less than 800m from a cultural center in Athens.,,
95,Find all restaurants no farther than 450m from an art gallery in San Francisco.,,
96,Map out shoe stores within 300m of a fashion designer studio in Paris.,,
97,Discover every antique bookstore less than 600m away from a coffee shop in Vienna.,,
98,Locate all fashion shops within 1km of a fashion college in New York.,,
99,Reveal all street art locations less than 550m from a modern art museum in Berlin.,,
100,Track all ice cream parlors within 700m of a park in Barcelona.,,
101,Identify all swimming pools within 500m of a fitness center in Miami.,,
101,Find all jazz bars less than 1km from a music academy in Chicago.,,
101,Locate every vegetarian restaurant within 300m of a yoga studio in Austin.,,
101,Map out bike shops within 400m of a cycling trail in Amsterdam.,,
101,Search for all art supply stores less than 200m away from an art college in San Francisco.,,
101,Discover every farmers' market within 600m of a vegan café in Portland.,,
101,Reveal all independent cinemas less than 2km from a cultural center in Toronto.,,
101,Find craft breweries within 100m of a gastropub in Denver.,,
101,Track all boutique hotels not more than 800m from a historic landmark in Savannah.,,
101,Locate tattoo studios within 350m of a music venue in Nashville.,,
