user,instance_id,displayed_text,output:::text_box
1,1,Locate every school within 500m of a hospital in Seattle.,as
1,2,Identify all gas stations less than 1km from a police station in Paris.,qwee
3,65,Search for all murals no more than 500m from an art museum in Berlin.,"area:
  - type: ""area""
  - value: ""Berlin""
nodes:
  - id: 1
    name: ""mural""
  - id: 2
    name: ""art museum""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""500m"""
3,37,Track all art supply stores less than 650m from an art school in Florence.,"area:
  - type: ""area""
  - value: ""Florence""
nodes:
  - id: 1
    name: ""art supply store""
  - id: 2
    name: ""art school""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""650m"""
3,67,Pinpoint every craft workshop less than 700m from an arts center in Santa Fe.,"area:
  - type: ""area""
  - value: ""Santa Fe""
nodes:
  - id: 1
    name: ""craft workshop""
  - id: 2
    name: ""arts center""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""700m"""
3,40,Pinpoint every craft store less than 300m from a gallery in Santa Fe.,"area:
  - type: ""area""
  - value: ""Santa Fe""
nodes:
  - id: 1
    name: ""craft store""
  - id: 2
    name: ""gallery""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""300m"""
3,39,Identify all antique shops within 400m of a historic house in Charleston.,"area:
  - type: ""area""
  - value: ""Charleston""
nodes:
  - id: 1
    name: ""antique shop""
  - id: 2
    name: ""historic house""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""400m"""
3,7,Reveal all pharmacies less than 2km from an airport in Dubai.,"area:
  - type: ""area""
  - value: ""Dubai""
nodes:
  - id: 1
    name: ""pharmacies""
  - id: 2
    name: ""airport""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""2km"""
3,78,Map out street food markets within 700m of a university in Bangkok.,"area:
  - type: ""area""
  - value: ""Bangkok""
nodes:
  - id: 1
    name: ""street food market""
  - id: 2
    name: ""university""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""700m"""
3,8,Find public toilets within 100m of a courthouse in Sydney.,"area:
  - type: ""area""
  - value: ""Sydney""
nodes:
  - id: 1
    name: ""public toilets""
  - id: 2
    name: ""courthouse""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""100m"""
3,4,Map out supermarkets within a 400m radius of a train station in Tokyo.,"area:
  - type: ""area""
  - value: ""Tokyo""
nodes:
  - id: 1
    name: ""supermarkets""
  - id: 2
    name: ""train station""
edges:
  - id: 1
    source: 1
    target: 2
    type: ""dist""
    value: ""400m"""
